id,question,answer,status,evidence,owner,deadline
R01,伦理申请项目负责人是谁？,,UNCONFIRMED,,,
R02,哪个伦理委员会受理？,,UNCONFIRMED,,,
R03,当前伦理系统入口是什么？,,UNCONFIRMED,,,
R04,谁有资格申请系统账号？,,UNCONFIRMED,,,
R05,使用哪一版模板？,,UNCONFIRMED,,,
R06,附属第二医院是否受理本项目？,,UNCONFIRMED,,,
R07,Level A专家审查是否需伦理覆盖？,,UNCONFIRMED,,,
R08,Level B、Level C和正式研究能否同一申请覆盖？,,UNCONFIRMED,,,
R09,审查类型和风险等级由谁判定？,,UNCONFIRMED,,,
R10,审查周期、会议频率和截止日期？,,UNCONFIRMED,,,
R11,是否收费？,,UNCONFIRMED,,,
R12,设计学院成员如何填写？,,UNCONFIRMED,,,
R13,实验地点和紧急医疗路径如何批准？,,UNCONFIRMED,,,
R14,敏感数据最低保存期限？,,UNCONFIRMED,,,
R15,不良事件报告时限？,,UNCONFIRMED,,,
R16,伦理投诉联系人？,,UNCONFIRMED,,,
R17,补偿标准和招募限制？,,UNCONFIRMED,,,
R18,PANAS许可证明要求？,,UNCONFIRMED,,,
R19,正式前方案变更如何提交？,,UNCONFIRMED,,,
R20,批准前允许开展哪些活动？,,UNCONFIRMED,,,
