ID,成果,类别,目标阶段,当前状态,完成定义
D01,Unity参与者构建,产品,第9步冻结,未完成,四场景、双完整表示条件、自动流程、可访问性和降级；脱离TD可完成体验
D02,Python真实数据系统,产品,第9步冻结,未完成,设备、权威时钟、协议、记录、策略概率、回退和离线接口
D03,TD实验员工作台,产品,第9步冻结,未完成,只读质量、波形、相位和告警；不改变参与者流程
D04,IJHCI论文,论文,第12步,未完成,完整提示表示包与候选四层设计知识为主；有支持度时融合序列部署扩展
D05,匿名化科研资产,数据,第11-12步,未完成,字典、派生数据、脚本、协议、缺失与排除记录
D06,软件著作权材料,知识产权,第11-12步,规划完成,权属和版本确认后申报
D07,条件性专利交底,知识产权,公开前,规划完成,先做新颖性和权属审查
D08,展示与演示成果,传播,第11-12步,规划完成,3至5分钟中英文视频和海报；演示证据不替代研究证据
D09,同篇论文序列部署扩展与策略资产,论文与方法,阶段二至三,条件式规划,参与者分组交叉拟合、OPE、ESS和支持过门；同构建前瞻独立队列验证含回退的部署策略
D10,开放科学与独立复现包,科研资产,第9至12步,规划完成,预注册、材料数据代码声明、环境锁、SBOM、合成重建和干净机器独立复现
D11,IJHCI审稿攻击与协议权威,治理资产,第1至12步,v1.1已形成,三路独立模型角色攻击、主线裁定、机器可读权威和一致性验证；不冒充外部人工审稿
