工作与场所,证据层级,场景融合,四层信息 T/A/C/D,呼吸结构,比较条件,状态编排,测量方法,设计知识,失败规则
Adaptive Biofeedback，CHI EA,C,◐,?/?/?/?,未实现冻结,概念稿，无实证条件,● 改变来源、信息量与模态；非模块排序,未来评价计划,◐ 概念原则,○
Breeze: Sharing Biofeedback，CHI,B,○,○/●/○/○,传达实时呼吸模式,视觉／声音／触觉,○,模式解释、定性体验,● 模态与模式指南,◐ 可解释性问题
Blum 等，Frontiers,A,● 虚拟自然,●/●/○/○,固定慢呼吸，约每分钟六次,虚拟自然反馈对标准图形反馈,○,随机平行组、主观、任务及 HRV 指标,● 场景反馈设计讨论,◐ 报告光环、载体混杂等局限
Breeze 手机系统，IMWUT,A/B,◐ 游戏化,●/●/◐/○,吸气—停顿—呼气—停顿,系统对主动对照,○,算法准确率、偏好、使用意向、HF-HRV,◐,◐ 检测准确性限制
PIV，TOCHI,B,○,●/○/○/○,个性化双相触觉节律,多图样 × 多身体位置,◐ 个性化参数；非模块排序,自报、皮电、呼吸波形,● 位置、图样、个性化规则,◐ 无明确运行降级合同
ViBreathe，IJHCI,A,○,●/●/○/○,标准、响应式、自适应慢呼吸,三种触觉引导模式,● 调整引导速度；非模块排序,n=24 实验、n=4 一周部署、HRV 与体验,● 使用情境及正负设计洞见,◐ 报告各模式负面体验
Mindful Garden，CSCW Companion,C,● 花朵,○/●/○/○,引导活动中的信号反映,演示，无正式对照,○,系统演示,◐ 管线与共同体验概念,○
BreatheWithMe，CHI EA,A,◐ 环境式灯光,○/●/○/○,实时社会呼吸,视觉／触觉／组合,○,15 对参与者、同步、社会临场、访谈,● 模态、隐私和社会可接受性,● 延迟、显著性、误读风险
Xu 与 Cho，作者预印本,B,◐ 艺术化,○/●/○/○,反馈活动，结构未详报,经典图形对艺术化反馈,○,n=10 试点、放松感与理解评价,◐,◐ 小样本、预印本
Chittaro 等，IJHCS,C/A 摘要及作者机构记录,● 虚拟环境与叙事,●/●/◐/○,分阶段呼吸与放松过程,真实反馈对安慰剂反馈,◐ 固定叙事阶段；非学习排序,n=35、放松与临场感,◐,● 强调安慰剂对照必要性
Heart Garden，IJHCI,A,● 花园隐喻,○/●/◐/○,外部引导下的呼吸活动,无受控表示对照,○,n=11 从业者工作坊与访谈,● 五原则、三项设计启示,◐ 报告多元素解释与权威化风险
Respireal，DIS,C,● 植物及自然场景,○/●/◐/○,呼吸控制植物生长,无正式对照,○,n=7 初步研究,◐,○
Heartscape，IJHCI,A,○，抽象艺术表示,○/●/◐/○,非目标节律引导,无受控表示对照,○,n=27 探索性研究与访谈,● 四项设计启示,◐ 报告解释差异和采用障碍
Breathing a Lullaby，IJHCI,D,?,?/?/?/?,多模态呼吸反馈，但细节不可编码,?,?,?,?,?
"Same Breath, Different Device，CHI EA",C,VR 场景可能存在，但非核心编码对象,●/●/?/?,慢呼吸反馈训练,VR 对手机，受试内 n=67,○,感知效用、使用意向、检测准确性非劣,◐ 跨载体经验,● VR 未显示优效
