task_id,parent_id,wave,domain,title,depends_on,status,kind,effort_person_days,process_profile,skills,learning_refs,deliverables,acceptance_criteria,evidence_required,completion_condition,claimant,branch,reviewer
UP-01,SRP-ROOT,W0,v1.2主线升级,【v1.2】三轮主线权威与消费者迁移清单,,READY,FIXED,2,P-DESIGN,研究设计+版本治理+证据审查,L-RESEARCH|L-MARKDOWN,版本覆盖关系;消费者清单;冲突矩阵,不恢复480秒；不把原生等同隐藏；所有正式入口列出未关闭项,版本与实际检查日志；外部项须真实回执,新制品验收对象明确；不覆盖历史DONE；研究证据单独判断,,,未指定
UP-02,SRP-ROOT,W1,v1.2主线升级,【v1.2】步骤实例测量与实际未知负测试,UP-01|F-02|F-05,WAIT_DEP,FIXED,3,P-ANALYSIS,Python+统计复算+合同测试,L-STAT|L-PYTEST,题库与答案生成器;独立标注计划;负例,hold_1/hold_2和inhale_1/inhale_2可区分；实际null不借目标补值,版本与实际检查日志；外部项须真实回执,新制品验收对象明确；不覆盖历史DONE；研究证据单独判断,,,未指定
UP-03,SRP-ROOT,W1,v1.2主线升级,【v1.2】两方案公平教学与形成性比较合同,UP-01|R-01,WAIT_DEP,FIXED,3,P-DESIGN,研究设计+版本治理+证据审查,L-RESEARCH|L-MARKDOWN,教学预算;中性说明;两臂匹配矩阵;修改规则,不改为隐藏操纵；两条件同样有限合理预算；需要真实理解证据才关闭研究门,版本与实际检查日志；外部项须真实回执,新制品验收对象明确；不覆盖历史DONE；研究证据单独判断,,,未指定
UP-04,SRP-ROOT,W1,v1.2主线升级,【v1.2】PANAS主结果SAP与新功效规格,UP-01|F-02,WAIT_DEP,FIXED,4,P-ANALYSIS,Python+统计复算+合同测试,L-STAT|L-PYTEST,SAP;差值方向;参数来源;功效模拟规格,双侧主比较；等效默认不启用；N和界值待真实冻结；覆盖正反零与缺失情景,版本与实际检查日志；外部项须真实回执,新制品验收对象明确；不覆盖历史DONE；研究证据单独判断,,,未指定
UP-05,SRP-ROOT,W1,v1.2主线升级,【v1.2】早期静态与回放研究真实准入,UP-01|G-01|G-02,WAIT_DEP_EXTERNAL,FIXED,2,P-DESIGN,研究设计+版本治理+证据审查,L-RESEARCH|L-MARKDOWN,相应活动批准;同意/许可;角色与范围回执,仅实际覆盖范围允许相应活动；不以G-05未整体关闭阻断已批准静态活动；不扩大许可,版本与实际检查日志；外部项须真实回执,新制品验收对象明确；不覆盖历史DONE；研究证据单独判断,,,未指定
UP-06,SRP-ROOT,W2,v1.2主线升级,【v1.2】正式入口v1.2准入合同接线与负测试,UP-01|F-01|P-01|G-02,WAIT_DEP,FIXED,4,P-DEV,Python+JSON Schema+准入负测试,L-PY|L-SCHEMA,全部正式入口消费者;硬阻断;版本匹配测试,缺冻结/审批/真实链则拒绝；旧v1.1和运行v2.2历史不改；本包分类器不冒充运行保护,版本与实际检查日志；外部项须真实回执,新制品验收对象明确；不覆盖历史DONE；研究证据单独判断,,,未指定
UP-07,SRP-ROOT,W2,v1.2主线升级,【v1.2】结果前中立核心稿与正反模板,UP-01|W-01,WAIT_DEP,FIXED,3,P-DELIVERY,研究设计+版本治理+证据审查,L-RESEARCH|L-MARKDOWN,设计方法稿;空表规格;正反结果句式,不填造数据；不等阶段三；每类结果有准确边界,版本与实际检查日志；外部项须真实回执,新制品验收对象明确；不覆盖历史DONE；研究证据单独判断,,,未指定
UP-08,SRP-ROOT,W5,v1.2主线升级,【v1.2】可选阶段三独立分析附录,E-06|A-05|E-05,WAIT_DEP,FIXED,4,P-ANALYSIS,Python+统计复算+合同测试,L-STAT|L-PYTEST,扩展分析;支持/回退;偏离与缺失,核心稿不依赖此项；已实施扩展完整披露；未做不写PASS,版本与实际检查日志；外部项须真实回执,新制品验收对象明确；不覆盖历史DONE；研究证据单独判断,,,未指定
UP-09,SRP-ROOT,W3,v1.2主线升级,【v1.2】升级影响覆盖与合同一致性复核,UP-02|UP-03|UP-04|UP-06,WAIT_DEP,FIXED,2,P-ANALYSIS,Python+统计复算+合同测试,L-STAT|L-PYTEST,消费者矩阵;变更覆盖;旧DONE影响表,主张计分真值版本一致；老DONE仅旧制品；正式空字段不能通过,版本与实际检查日志；外部项须真实回执,新制品验收对象明确；不覆盖历史DONE；研究证据单独判断,,,未指定
UP-10,SRP-ROOT,W5,v1.2主线升级,【v1.2】阶段一结果分类与主张独立复核,A-05,WAIT_DEP,FIXED,2,P-ANALYSIS,Python+统计复算+合同测试,L-STAT|L-PYTEST,beta方向;CI尺度;功能与效度标签;允许句子,反向优势/不确定/小差异不混淆；不显著不能生成等效；CI边界和无效输入测试,版本与实际检查日志；外部项须真实回执,新制品验收对象明确；不覆盖历史DONE；研究证据单独判断,,,未指定
