id,severity,evidence_type,attack,repair,closure_status,tasks
AU-01,Critical,已证实的任务依赖,核心稿被E-06阻断,A-04/W-02重排，UP-08单独扩展,包内图与迁移规则已修复；用户仓库未应用,UP-10|UP-08
AU-02,Major,三轮主张整合,功能底线替代情绪价值,阶段一PANAS主结果,文档已修订；正式SAP待冻,UP-04
AU-03,Major,概念/识别边界,原生被混同为隐藏,原生性与显式性分开,文档与分类约束已修订；真实操纵证据待做,UP-03
AU-04,Critical,统计逻辑,不显著被写成抽象优势或等效,方向/实际尺度/效度多标签,分类器与边界测试；实际结果未观察,UP-10
AU-05,Critical,流程风险,SCCI/PF失败隐藏情绪结果,报告门与推荐门分开,合同已修订；正式流水线待实现,A-03|A-05
AU-06,Critical,已知语义漂移,F-02缺步骤分辨率,v2.2真值题库与错误分类,迁移规范已交付；量表/代码/真人效度待验证,UP-02
AU-07,Critical,测量风险,目标反填实际制造依从,独立波形标注与null处理,源合同已有约束；真机验证未完成,S-02|UP-02
AU-08,Critical,样本依据缺口,新PANAS问题沿用旧N,新功效与最低关注差异,仅规划复算；最终N未冻结,UP-04|A-03|UP-11
AU-09,Major,数学反例,总体PF掩盖模块损失,模块错误护栏与全量区间,规范已修订；阈值/真实结果待做,A-02
AU-10,Major,缺失选择风险,设备缺失删除有效PANAS,两类缺失分离与敏感性,合同已修订；插补流水线未实现,A-03
AU-11,Major,任务顺序,理论审查过迟,静态材料与范围准入前移,依赖已在包内改；真实批准未取得,UP-05
AU-12,Critical,外部准入,模板或Agent签字替代批准,范围回执与真人责任,仍外部待核验；不宣称已违规或已批准,G-05|UP-11
AU-13,Critical,真实工程证据,开发PASS被当LIVE_E2E,真实双设备800秒/外部延迟,未在本次运行,I-01
AU-14,Major,策略支持反例,正概率被当足够支持,ESS/尾部/分组与回退,保持可选；未开展真实策略评价,X-02|E-05
AU-15,Major,策略识别,策略对随机被称个性化机制,简单基线与状态消融解释边界,文档保留；扩展未启用,UP-08
AU-16,Major,形成性公平,成熟抽象对坏原生,对称合理教学与基本可用优化,规范已交付；参与者证据未做,UP-03
AU-17,Major,结果导向停止,按p值/完成格补人,按随机分配/盲态规则停止,迁移字段已修订；最终规则待签署,G-03|E-04
AU-18,Major,主张外推,短时量表写成疗效或长期,指定人群/时长/完整方案,全包明确限制；写作继续审计,W-02
AU-19,Minor,状态管理,历史DONE被撤销或虚假扩大,影响表+新增任务验收,16项影响表保留历史,UP-09
AU-20,Major,政策/文献核验,旧检索当最新说明或全文,访问层级和提交当天核验,本次未补新外部研究；留明确缺口,W-01|W-03
AU-21,Critical,运行强制性,新增JSON被当自动拦旧运行器,UP-06接线所有正式入口,本包未修改运行代码；准入保持关闭,UP-06
AU-22,Major,公开与收尾,已做扩展被改成NOT_RUN,部分/停止/未做分开披露,合同与路线测试已交付,UP-08|W-03
AU-23,Major,封包交叉审计的条件性风险,分条件教学先于主要前测可能使基线受处理影响,共同准备后前测、揭示后分条件教学；同步修改估计目标,明确列为待受控冻结修订，不断言实际研究已偏倚,UP-04|UP-11|X-01
