capability_id,activity,required_status,evidence_owner,evidence_ref,status
INSTITUTION_LEVEL_A,E-01,VERIFIED,真实机构负责人,,PENDING_EXTERNAL
INSTITUTION_LEVEL_B,E-02,VERIFIED,真实机构负责人,,PENDING_EXTERNAL
INSTITUTION_LEVEL_C,E-03,VERIFIED,真实机构负责人,,PENDING_EXTERNAL
INSTITUTION_STAGE1,G-03|B-02|E-04,VERIFIED,真实机构负责人,,PENDING_EXTERNAL
INSTITUTION_STAGE3,G-04|B-03|E-06,VERIFIED,真实机构负责人,,PENDING_EXTERNAL
QUESTIONNAIRE_PERMISSION,Q-02|Q-03|G-03,VERIFIED,论文与设计负责人,,PENDING_EXTERNAL
RETENTION_AND_PRIVACY,G-03|G-04|W-03,VERIFIED,数据负责人,,PENDING_EXTERNAL
FORMAL_MACHINE,U-08|I-01|G-03,VERIFIED,工程负责人,,PENDING_EXTERNAL
ASSET_EXPERIMENT_USE,U-08|I-01,VERIFIED,资产负责人,,PENDING_EXTERNAL
ASSET_PUBLICATION_USE,W-03,VERIFIED,资产负责人,,PENDING_EXTERNAL
ASSET_REDISTRIBUTION,Z-01|W-04,VERIFIED,资产负责人,,PENDING_EXTERNAL
STATION_CAPACITY_STAGE1,G-03,VERIFIED,现场负责人,,PENDING_EXTERNAL
STATION_CAPACITY_STAGE3,G-04,VERIFIED,现场负责人,,PENDING_EXTERNAL
