expert_id,expert_domain,conflict_of_interest,item_id,item_text,relevance_1_to_4,clarity_1_to_4,suggested_revision,must_fix_yes_no
E01,,,SCCI1,呼吸引导感觉是这个场景自然的一部分。,,,,
E01,,,SCCI2,视觉变化与我被要求跟随的呼吸阶段相匹配。,,,,
E01,,,SCCI3,系统对我实际呼吸的反馈与场景含义相协调。,,,,
E01,,,SCCI4,呼吸引导和环境变化像一个统一的体验，而不是两个分开的部分。,,,,
E01,,,SCCI5,呼吸与视觉反馈之间的对应关系对我来说是合理的。,,,,
E02,,,SCCI1,呼吸引导感觉是这个场景自然的一部分。,,,,
E02,,,SCCI2,视觉变化与我被要求跟随的呼吸阶段相匹配。,,,,
E02,,,SCCI3,系统对我实际呼吸的反馈与场景含义相协调。,,,,
E02,,,SCCI4,呼吸引导和环境变化像一个统一的体验，而不是两个分开的部分。,,,,
E02,,,SCCI5,呼吸与视觉反馈之间的对应关系对我来说是合理的。,,,,
E03,,,SCCI1,呼吸引导感觉是这个场景自然的一部分。,,,,
E03,,,SCCI2,视觉变化与我被要求跟随的呼吸阶段相匹配。,,,,
E03,,,SCCI3,系统对我实际呼吸的反馈与场景含义相协调。,,,,
E03,,,SCCI4,呼吸引导和环境变化像一个统一的体验，而不是两个分开的部分。,,,,
E03,,,SCCI5,呼吸与视觉反馈之间的对应关系对我来说是合理的。,,,,
E04,,,SCCI1,呼吸引导感觉是这个场景自然的一部分。,,,,
E04,,,SCCI2,视觉变化与我被要求跟随的呼吸阶段相匹配。,,,,
E04,,,SCCI3,系统对我实际呼吸的反馈与场景含义相协调。,,,,
E04,,,SCCI4,呼吸引导和环境变化像一个统一的体验，而不是两个分开的部分。,,,,
E04,,,SCCI5,呼吸与视觉反馈之间的对应关系对我来说是合理的。,,,,
E05,,,SCCI1,呼吸引导感觉是这个场景自然的一部分。,,,,
E05,,,SCCI2,视觉变化与我被要求跟随的呼吸阶段相匹配。,,,,
E05,,,SCCI3,系统对我实际呼吸的反馈与场景含义相协调。,,,,
E05,,,SCCI4,呼吸引导和环境变化像一个统一的体验，而不是两个分开的部分。,,,,
E05,,,SCCI5,呼吸与视觉反馈之间的对应关系对我来说是合理的。,,,,
E06,,,SCCI1,呼吸引导感觉是这个场景自然的一部分。,,,,
E06,,,SCCI2,视觉变化与我被要求跟随的呼吸阶段相匹配。,,,,
E06,,,SCCI3,系统对我实际呼吸的反馈与场景含义相协调。,,,,
E06,,,SCCI4,呼吸引导和环境变化像一个统一的体验，而不是两个分开的部分。,,,,
E06,,,SCCI5,呼吸与视觉反馈之间的对应关系对我来说是合理的。,,,,
E07,,,SCCI1,呼吸引导感觉是这个场景自然的一部分。,,,,
E07,,,SCCI2,视觉变化与我被要求跟随的呼吸阶段相匹配。,,,,
E07,,,SCCI3,系统对我实际呼吸的反馈与场景含义相协调。,,,,
E07,,,SCCI4,呼吸引导和环境变化像一个统一的体验，而不是两个分开的部分。,,,,
E07,,,SCCI5,呼吸与视觉反馈之间的对应关系对我来说是合理的。,,,,
E08,,,SCCI1,呼吸引导感觉是这个场景自然的一部分。,,,,
E08,,,SCCI2,视觉变化与我被要求跟随的呼吸阶段相匹配。,,,,
E08,,,SCCI3,系统对我实际呼吸的反馈与场景含义相协调。,,,,
E08,,,SCCI4,呼吸引导和环境变化像一个统一的体验，而不是两个分开的部分。,,,,
E08,,,SCCI5,呼吸与视觉反馈之间的对应关系对我来说是合理的。,,,,
