ID,风险,等级,影响,应对,负责人角色
R01,伦理路由长期未确认,高,无法开展参与者研究,导师+科研秘书确认；必要时建立合规合作,项目负责人
R02,呼吸设备型号未冻结,高,算法和数据契约无法落地,先做设备选型与30分钟稳定性测试,软件/数据
R03,循环叹息胸带不可识别,高,褪色模块主要指标失效,Level C人工标注；必要时调整协议或传感器,数据负责人
R04,场景原生提示理解度低,高,核心框架失败,Level B认知访谈、简化动画和三层视觉,设计负责人
R05,抽象条件功能信息不等,高,提示载体归因失败,三类变量矩阵、自动审计和Level A/B复核,研究负责人
R06,阶段一和阶段三招募产能不足,高,时间延迟或正式阶段NO_GO,按528人次基准建工位招募日历；用真机和漏斗数据关U8,实验负责人
R07,跨阶段重复参与或样本混入,高,阶段隔离和独立比较失效,唯一ID隔离、招募去重和锁库前审计,实验负责人
R08,正式版本中途变化,高,数据不可合并,版本门、暂停与伦理/预注册修订,技术负责人
R09,SCCI只测到喜欢,高,构念失效,专家CVI、认知访谈、与喜欢度区分,测量负责人
R10,设备数据泄露,高,伦理与法律风险,身份分离、加密、权限、禁止公共云,数据管理员
R11,结果不显著,中,主张不成立,保留可证伪设计；报告权衡与负面结果,全体
R12,论文主题过载,中高,审稿人难以识别贡献,场景原生表示为主；编排仅作同篇条件式次贡献,第一作者
R13,策略动作支持或跨折稳定性不足,高,次贡献不可信,消融、支持、熵、回退、校准；不稳则简化或均匀,数据负责人
R14,关键提示依赖颜色音频或过强运动,高,部分参与者无法可靠理解或产生不适,非颜色唯一、对比度、静音、减少运动和Level B检查,Unity负责人
R15,材料数据代码状态不透明,中高,复核困难且可信度下降,统一开放科学声明、合成重建和独立复现,成果负责人
