historical_task,historical_status_handling,impact,new_validation_owner,research_evidence_upgraded_automatically
F-02,PRESERVE_DONE_ORIGINAL_SCOPE,题库与主要结果角色改变,UP-02|UP-04,NO
R-01,PRESERVE_DONE_ORIGINAL_SCOPE,原生不等于隐藏；主张改变，映射底线保留,UP-03,NO
W-01,PRESERVE_DONE_ORIGINAL_SCOPE,情绪增量与反向结果主线；最近工作证据重定位,UP-07,NO
F-05,PRESERVE_DONE_ORIGINAL_SCOPE,运行语义保留，测量消费者须对齐,UP-02,NO
F-01,PRESERVE_DONE_ORIGINAL_SCOPE,新的研究准入与运行合同版本区分,UP-06,NO
P-01,PRESERVE_DONE_ORIGINAL_SCOPE,正式入口必须识别v1.2冻结状态,UP-06,NO
P-02,PRESERVE_DONE_ORIGINAL_SCOPE,量表与设备缺失分开追溯，保留原始日志,UP-06,NO
G-01,PRESERVE_DONE_ORIGINAL_SCOPE,两种方案中立招募与分范围活动材料,UP-05,NO
G-02,PRESERVE_DONE_ORIGINAL_SCOPE,正式数据/密钥/保留期限真实配置,G-05,NO
V-01,PRESERVE_DONE_ORIGINAL_SCOPE,短时收益主线与不预定原生产品胜出,UP-03,NO
V-02,PRESERVE_DONE_ORIGINAL_SCOPE,两条件公平优化与显式性边界,UP-03,NO
V-03,PRESERVE_DONE_ORIGINAL_SCOPE,六类混杂与累计函数匹配,UP-03,NO
V-04,PRESERVE_DONE_ORIGINAL_SCOPE,保留800秒与fade时序，新增测量负例,UP-02|UP-03,NO
F-03,PRESERVE_DONE_ORIGINAL_SCOPE,开发构建不等正式可运行证据,UP-06,NO
F-04,PRESERVE_DONE_ORIGINAL_SCOPE,操作台不替代真实执行审批,UP-06,NO
T-01,PRESERVE_DONE_ORIGINAL_SCOPE,遥测记录不证明主要情绪结论,UP-06,NO
