doi,title,year,registry,checked_on,status,url
10.1145/2851581.2859027,Adaptive Biofeedback for Mind-Body Practices,2016,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1145/2851581.2859027
10.1145/3173574.3174219,Breeze: Sharing Biofeedback Through Wearable Technologies,2018,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1145/3173574.3174219
10.3389/fpsyg.2019.02172,Heart Rate Variability Biofeedback Based on Slow-Paced Breathing With Immersive Virtual Reality Nature Scenery,2019,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.3389/fpsyg.2019.02172
10.1145/3369835,Breeze: Smartphone-Based Acoustic Real-Time Detection of Breathing Phases for a Gamified Biofeedback Breathing Training,2019,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1145/3369835
10.1145/3365107,"PIV: Placement, Pattern, and Personalization of an Inconspicuous Vibrotactile Breathing Pacer",2020,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1145/3365107
10.1080/10447318.2021.1898827,ViBreathe: Heart Rate Variability Enhanced Respiration Training for Workaday Stress Management via an Eyes-Free Tangible Interface,2021,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1080/10447318.2021.1898827
10.1145/3500868.3559708,Mindful Garden: Supporting Collective Mindfulness Practices in Co-Located Mixed Reality,2022,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1145/3500868.3559708
10.1145/3544549.3585589,BreatheWithMe: Exploring Visual and Vibrotactile Displays for Social Breath Awareness,2023,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1145/3544549.3585589
10.48550/arXiv.2310.14343,Exploring Artistic Visualization of Biosignals for Enhancing User Awareness in Biofeedback Systems,2023,DataCite,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.48550/arXiv.2310.14343
10.1016/j.ijhcs.2024.103275,Virtual reality experiences for relaxation and biofeedback: A randomized study,2024,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1016/j.ijhcs.2024.103275
10.1080/10447318.2025.2504201,Heart Garden: Visualizing Heart Rate Data Using the Metaphor of a Garden,2025,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1080/10447318.2025.2504201
10.1145/3715668.3736338,Respireal: A Biofeedback Breathing Experience Using Plants and Nature,2025,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1145/3715668.3736338
10.1080/10447318.2026.2669040,Heartscape: Biofeedback Through Real-Time Abstract Heart Rate Visualization,2026,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1080/10447318.2026.2669040
10.1080/10447318.2026.2672591,Breathing a Lullaby: Exploring Multimodal Biofeedback for Bedtime Breathing,2026,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1080/10447318.2026.2672591
10.1145/3772363.3798443,"Same Breath, Different Device: Comparing VR and Smartphone Biofeedback Training",2026,Crossref,2026-08-06,VERIFIED_IDENTITY,https://doi.org/10.1145/3772363.3798443
