expert_id,criterion_id,criterion,score_0_to_3,evidence_or_issue,must_fix_yes_no
E01,C01,两条件提供相同目标呼吸信息,,,
E01,C02,两条件提供相同真实呼吸反馈信息,,,
E01,C03,两条件使用相同累计恢复机制,,,
E01,C04,两条件场景、音频、时长和设备保持一致,,,
E01,C05,抽象提示未通过场景动画泄露目标节律,,,
E01,C06,场景原生条件目标、实际和累计三层可区分,,,
E01,C07,四个模块均能表达目标协议结构,,,
E01,C08,界面显著性和视觉负担没有明显不可接受差异,,,
E01,C09,断流时两条件使用等价安全降级,,,
E01,C10,研究结论边界与实验操纵一致,,,
E02,C01,两条件提供相同目标呼吸信息,,,
E02,C02,两条件提供相同真实呼吸反馈信息,,,
E02,C03,两条件使用相同累计恢复机制,,,
E02,C04,两条件场景、音频、时长和设备保持一致,,,
E02,C05,抽象提示未通过场景动画泄露目标节律,,,
E02,C06,场景原生条件目标、实际和累计三层可区分,,,
E02,C07,四个模块均能表达目标协议结构,,,
E02,C08,界面显著性和视觉负担没有明显不可接受差异,,,
E02,C09,断流时两条件使用等价安全降级,,,
E02,C10,研究结论边界与实验操纵一致,,,
E03,C01,两条件提供相同目标呼吸信息,,,
E03,C02,两条件提供相同真实呼吸反馈信息,,,
E03,C03,两条件使用相同累计恢复机制,,,
E03,C04,两条件场景、音频、时长和设备保持一致,,,
E03,C05,抽象提示未通过场景动画泄露目标节律,,,
E03,C06,场景原生条件目标、实际和累计三层可区分,,,
E03,C07,四个模块均能表达目标协议结构,,,
E03,C08,界面显著性和视觉负担没有明显不可接受差异,,,
E03,C09,断流时两条件使用等价安全降级,,,
E03,C10,研究结论边界与实验操纵一致,,,
E04,C01,两条件提供相同目标呼吸信息,,,
E04,C02,两条件提供相同真实呼吸反馈信息,,,
E04,C03,两条件使用相同累计恢复机制,,,
E04,C04,两条件场景、音频、时长和设备保持一致,,,
E04,C05,抽象提示未通过场景动画泄露目标节律,,,
E04,C06,场景原生条件目标、实际和累计三层可区分,,,
E04,C07,四个模块均能表达目标协议结构,,,
E04,C08,界面显著性和视觉负担没有明显不可接受差异,,,
E04,C09,断流时两条件使用等价安全降级,,,
E04,C10,研究结论边界与实验操纵一致,,,
E05,C01,两条件提供相同目标呼吸信息,,,
E05,C02,两条件提供相同真实呼吸反馈信息,,,
E05,C03,两条件使用相同累计恢复机制,,,
E05,C04,两条件场景、音频、时长和设备保持一致,,,
E05,C05,抽象提示未通过场景动画泄露目标节律,,,
E05,C06,场景原生条件目标、实际和累计三层可区分,,,
E05,C07,四个模块均能表达目标协议结构,,,
E05,C08,界面显著性和视觉负担没有明显不可接受差异,,,
E05,C09,断流时两条件使用等价安全降级,,,
E05,C10,研究结论边界与实验操纵一致,,,
E06,C01,两条件提供相同目标呼吸信息,,,
E06,C02,两条件提供相同真实呼吸反馈信息,,,
E06,C03,两条件使用相同累计恢复机制,,,
E06,C04,两条件场景、音频、时长和设备保持一致,,,
E06,C05,抽象提示未通过场景动画泄露目标节律,,,
E06,C06,场景原生条件目标、实际和累计三层可区分,,,
E06,C07,四个模块均能表达目标协议结构,,,
E06,C08,界面显著性和视觉负担没有明显不可接受差异,,,
E06,C09,断流时两条件使用等价安全降级,,,
E06,C10,研究结论边界与实验操纵一致,,,
E07,C01,两条件提供相同目标呼吸信息,,,
E07,C02,两条件提供相同真实呼吸反馈信息,,,
E07,C03,两条件使用相同累计恢复机制,,,
E07,C04,两条件场景、音频、时长和设备保持一致,,,
E07,C05,抽象提示未通过场景动画泄露目标节律,,,
E07,C06,场景原生条件目标、实际和累计三层可区分,,,
E07,C07,四个模块均能表达目标协议结构,,,
E07,C08,界面显著性和视觉负担没有明显不可接受差异,,,
E07,C09,断流时两条件使用等价安全降级,,,
E07,C10,研究结论边界与实验操纵一致,,,
E08,C01,两条件提供相同目标呼吸信息,,,
E08,C02,两条件提供相同真实呼吸反馈信息,,,
E08,C03,两条件使用相同累计恢复机制,,,
E08,C04,两条件场景、音频、时长和设备保持一致,,,
E08,C05,抽象提示未通过场景动画泄露目标节律,,,
E08,C06,场景原生条件目标、实际和累计三层可区分,,,
E08,C07,四个模块均能表达目标协议结构,,,
E08,C08,界面显著性和视觉负担没有明显不可接受差异,,,
E08,C09,断流时两条件使用等价安全降级,,,
E08,C10,研究结论边界与实验操纵一致,,,
