finding_id,priority,local_disposition,owner,closure_gate
C01,P0,REPRODUCED,A-06,两条论文路线均可到达W-04且未开展阶段三不伪DONE
C02,P0,REPRODUCED,P-02|A-01|Z-01,完整原始证据束区分记录事实与离线派生
M01,P0,REPRODUCED,A-03,A-03先行规格不等待真实设备且最终校准仍失败关闭
M02,P0,REPRODUCED,治理验证器,DONE占位签收和对象不匹配均失败
M03,P0,REPRODUCED,G-05,活动只消费相关资格且不绕过真实外部门
M04,P0,OPEN_RESEARCH_RISK,R-01|Q-01|W-01,独立重建错误和边界证据完成
M05,P0,OPEN_RESEARCH_RISK,A-03|E-03,联合模拟与真人统计复核通过
M06,P0,OPEN_ENGINEERING_RISK,D-01|D-02,目标机器真实原始通道和双设备持续采集通过
M07,P0,KNOWN_OPEN_GATE,G-05|U-08,当前构建资产用途和正式机器资格全部关闭
M08,P0,PARTIALLY_COVERED,A-03|S-02,机会边界golden与盲态冻结规则全部通过
M09,P1,CONFIRMED_SCOPE_GAP,X-03,独立策略决策合同通过且不改变阶段一
M10,P1,OPEN_METHOD_RISK,X-02|E-05,支持不足触发无扩展路线
M11,P1,OPEN_INTEGRATION_RISK,I-01|Z-01,真实负载呈现存储压力证据通过
M12,P1,CONFIRMED_AMBIGUITY,X-01|E-04,分配暴露完成台账分离且不追补特定顺序
M13,P1,REPRODUCED,任务包生成器,执行与复核期快照保留并报告输入变化
M14,P1,KNOWN_OPEN_GATE,W-01,原生检索和全文双人核对关闭新颖性门
M15,P1,REPRODUCED,G-05|A-06,分阶段资源表区分工位人时和日历等待
M16,P1,OPEN_DELIVERY_GAP,W-02|W-03,每个论文数字回到锁定结果和输入指纹
N01,P1,REPRODUCED,UP-01,当前入口不再提供旧运行权威
N02,P1,REPRODUCED,治理验证器,未知依赖稳定返回结构化错误
N03,P2,CONFIRMED_HASH_POLICY_GAP,Z-01,规范化文本哈希和字节哈希明确分开
N04,P2,CONFIRMED_REPOSITORY_GAP,Z-01,轻量检查不接触真实数据且不冒充现场证据
N05,P2,NOT_ADOPTED_POLICY_CONFLICT,AGENTS.md,继续执行项目现有用语规则
N06,P2,OPEN_REPRODUCTION_RISK,U-08|Z-01,干净环境取回对象并重开制品
